batch_size,learning_rate,split_count,cnt_min,cnt_max,embedding_dim,category_embedding_dim,hidden_size,checkpoint,epoch_num,accuracy,early_stop_epoch,hidden_size,metric_rankme,metric_coherence,metric_pseudo_condition_number,metric_alpha_req,metric_stable_rank,metric_ne_sum,metric_self_clustering,metric_ripser,time_rankme,time_coherence,time_pseudo_condition_number,time_alpha_req,time_stable_rank,time_ne_sum,time_self_clustering,time_ripser
32,0.001,3,10,50,16,8,128,checkpoints/model_32_0.001_3_10_50_128epoch=07.ckpt,7,0.7320930232558139,13,128,42.4066,12.5896,0.0016,4.0309,1.2432,8.4767,0.6405,-5452.2576,0.0001,0.0007,0.0,0.0002,0.0004,0.0032,0.0633,9.3546
32,0.001,3,10,50,16,8,128,checkpoints/model_32_0.001_3_10_50_128epoch=08.ckpt,8,0.7274418604651163,13,128,43.6244,12.5792,0.0014,4.0286,1.2381,9.2551,0.6457,-5743.0089,0.0001,0.0005,0.0,0.0002,0.0004,0.0032,0.0622,9.8382
32,0.001,3,10,50,16,8,128,checkpoints/model_32_0.001_3_10_50_128epoch=09.ckpt,9,0.7125581395348837,13,128,43.3479,12.2572,0.0012,4.0885,1.2148,9.9313,0.6674,-5827.9939,0.0001,0.0006,0.0,0.0002,0.0004,0.0032,0.0628,9.712
32,0.001,3,10,50,16,8,128,checkpoints/model_32_0.001_3_10_50_128epoch=10.ckpt,10,0.7227906976744186,13,128,44.9772,12.6109,0.0013,4.075,1.2361,10.7791,0.648,-6106.1249,0.0001,0.0005,0.0,0.0002,0.0004,0.003,0.0615,12.7182
32,0.001,3,10,50,16,8,128,checkpoints/model_32_0.001_3_10_50_128epoch=11.ckpt,11,0.7209302325581395,13,128,43.5578,13.3803,0.001,4.1487,1.2146,10.6555,0.6704,-5977.4608,0.0001,0.0005,0.0,0.0002,0.0005,0.0041,0.073,10.319
32,0.001,3,10,50,16,8,128,checkpoints/model_32_0.001_3_10_50_128epoch=12.ckpt,12,0.7237209302325581,13,128,44.4307,13.1355,0.001,4.1265,1.2174,10.9661,0.6682,-6150.2408,0.0001,0.0005,0.0,0.0002,0.0004,0.0031,0.0605,10.9087
32,0.001,3,10,50,16,8,128,checkpoints/model_32_0.001_3_10_50_128epoch=13.ckpt,13,0.7125581395348837,13,128,44.7455,13.7246,0.001,4.1271,1.2215,10.0254,0.6625,-6229.0512,0.0001,0.0006,0.0,0.0002,0.0004,0.0032,0.0619,10.803
32,0.001,3,10,50,16,8,128,checkpoints/model_32_0.001_3_10_50_128epoch=14.ckpt,14,0.7320930232558139,13,128,44.7352,13.2436,0.001,4.1736,1.2188,10.4905,0.6671,-6245.309,0.0001,0.0006,0.0,0.0002,0.0004,0.0032,0.0613,11.2499
32,0.001,3,10,50,16,8,128,checkpoints/model_32_0.001_3_10_50_128epoch=15.ckpt,15,0.7255813953488373,13,128,44.4547,13.7835,0.0009,4.178,1.2072,10.6949,0.6799,-6264.38,0.0001,0.0005,0.0,0.0002,0.0003,0.003,0.0612,12.8743
32,0.001,3,10,50,16,8,128,checkpoints/model_32_0.001_3_10_50_128epoch=16.ckpt,16,0.7116279069767442,13,128,45.3374,12.9811,0.001,4.1763,1.221,11.483,0.6653,-6479.0299,0.0001,0.0005,0.0,0.0002,0.0004,0.003,0.0611,13.671
32,0.001,3,10,50,16,8,128,checkpoints/model_32_0.001_3_10_50_128epoch=17.ckpt,17,0.7320930232558139,13,128,44.8542,12.7353,0.0009,4.2008,1.2125,11.0593,0.6739,-6408.8515,0.0001,0.0005,0.0,0.0002,0.0003,0.0032,0.0614,11.4491
64,0.001,3,10,50,16,8,128,checkpoints/model_64_0.001_3_10_50_128epoch=00.ckpt,0,0.6697674418604651,27,128,28.2865,23.533,0.0015,4.3898,1.3886,4.5467,0.5412,-2655.7622,0.0001,0.0006,0.0,0.0002,0.0004,0.0032,0.0603,5.9184
64,0.001,3,10,50,16,8,128,checkpoints/model_64_0.001_3_10_50_128epoch=01.ckpt,1,0.68,27,128,33.4364,21.3166,0.0019,4.3208,1.3812,5.4878,0.5362,-3209.3205,0.0001,0.0007,0.0,0.0003,0.0004,0.003,0.0604,5.7423
64,0.001,3,10,50,16,8,128,checkpoints/model_64_0.001_3_10_50_128epoch=02.ckpt,2,0.6669767441860465,27,128,35.8274,18.513,0.002,4.2651,1.35,7.3465,0.5585,-3597.8917,0.0001,0.0006,0.0,0.0002,0.0004,0.0031,0.0637,6.2247
64,0.001,3,10,50,16,8,128,checkpoints/model_64_0.001_3_10_50_128epoch=03.ckpt,3,0.6995348837209302,27,128,35.3565,18.5969,0.0019,4.2273,1.3337,5.49,0.5667,-3704.7162,0.0001,0.0007,0.0,0.0002,0.0005,0.0033,0.064,6.5545
64,0.001,3,10,50,16,8,128,checkpoints/model_64_0.001_3_10_50_128epoch=04.ckpt,4,0.6976744186046512,27,128,36.0602,17.6735,0.0019,4.1888,1.2998,5.781,0.5928,-3822.3553,0.0001,0.0005,0.0,0.0002,0.0004,0.0033,0.0647,6.3016
64,0.001,3,10,50,16,8,128,checkpoints/model_64_0.001_3_10_50_128epoch=05.ckpt,5,0.718139534883721,27,128,39.7619,16.3201,0.0022,4.1169,1.3378,6.1585,0.5571,-4224.5593,0.0001,0.0005,0.0,0.0002,0.0004,0.003,0.0591,6.3805
64,0.001,3,10,50,16,8,128,checkpoints/model_64_0.001_3_10_50_128epoch=06.ckpt,6,0.7097674418604651,27,128,40.926,16.3129,0.0023,4.069,1.3503,6.7381,0.545,-4413.6616,0.0001,0.0006,0.0,0.0002,0.0004,0.0032,0.0628,7.0377
64,0.001,3,10,50,16,8,128,checkpoints/model_64_0.001_3_10_50_128epoch=07.ckpt,7,0.7255813953488373,27,128,42.0102,15.7695,0.0021,4.0535,1.3184,8.2565,0.5712,-4572.2124,0.0001,0.0005,0.0,0.0002,0.0004,0.0033,0.0615,7.1587
64,0.001,3,10,50,16,8,128,checkpoints/model_64_0.001_3_10_50_128epoch=08.ckpt,8,0.707906976744186,27,128,41.1849,15.7851,0.0019,4.0256,1.2869,7.565,0.6015,-4662.6747,0.0001,0.0005,0.0,0.0002,0.0004,0.003,0.0615,7.7814
64,0.001,3,10,50,16,8,128,checkpoints/model_64_0.001_3_10_50_128epoch=09.ckpt,9,0.7041860465116279,27,128,42.9031,14.748,0.002,4.0148,1.2932,8.4339,0.5954,-4857.0991,0.0001,0.0007,0.0,0.0002,0.0004,0.0033,0.06,7.6781
64,0.001,3,10,50,16,8,128,checkpoints/model_64_0.001_3_10_50_128epoch=10.ckpt,10,0.7218604651162791,27,128,42.6281,14.5046,0.0019,4.021,1.2791,8.7406,0.6075,-4898.2732,0.0001,0.0005,0.0,0.0002,0.0003,0.0032,0.06,9.1043
64,0.001,3,10,50,16,8,128,checkpoints/model_64_0.001_3_10_50_128epoch=11.ckpt,11,0.7283720930232558,27,128,43.7118,14.0888,0.0019,4.0043,1.2854,9.6702,0.6012,-5076.9328,0.0001,0.0005,0.0,0.0002,0.0004,0.0032,0.0618,9.3129
64,0.001,3,10,50,16,8,128,checkpoints/model_64_0.001_3_10_50_128epoch=12.ckpt,12,0.7311627906976744,27,128,43.4206,15.1408,0.0019,4.0046,1.2675,8.9958,0.617,-5093.9055,0.0001,0.0006,0.0,0.0002,0.0004,0.0032,0.0605,8.1053
64,0.001,3,10,50,16,8,128,checkpoints/model_64_0.001_3_10_50_128epoch=13.ckpt,13,0.7283720930232558,27,128,44.3576,14.2082,0.0019,4.012,1.2803,8.709,0.6065,-5236.3374,0.0001,0.0006,0.0,0.0002,0.0004,0.0035,0.0612,10.2652
64,0.001,3,10,50,16,8,128,checkpoints/model_64_0.001_3_10_50_128epoch=14.ckpt,14,0.7330232558139534,27,128,45.3864,14.7901,0.0021,3.9896,1.2766,9.9942,0.6098,-5394.7287,0.0001,0.0007,0.0,0.0002,0.0004,0.0031,0.0614,8.4493
64,0.001,3,10,50,16,8,128,checkpoints/model_64_0.001_3_10_50_128epoch=15.ckpt,15,0.7311627906976744,27,128,45.4076,14.7966,0.002,4.0061,1.2821,9.1878,0.6047,-5455.8719,0.0001,0.0005,0.0,0.0002,0.0004,0.0033,0.0617,9.5711
64,0.001,3,10,50,16,8,128,checkpoints/model_64_0.001_3_10_50_128epoch=16.ckpt,16,0.7190697674418605,27,128,44.8247,14.2513,0.0019,4.0161,1.2725,9.1826,0.6122,-5462.0364,0.0001,0.0007,0.0,0.0002,0.0004,0.0035,0.0639,9.784
64,0.001,3,10,50,16,8,128,checkpoints/model_64_0.001_3_10_50_128epoch=17.ckpt,17,0.7367441860465116,27,128,45.3579,14.4054,0.0018,4.0519,1.2738,10.3952,0.6127,-5567.0616,0.0001,0.0007,0.0,0.0002,0.0004,0.0034,0.0614,11.9221
64,0.001,3,10,50,16,8,128,checkpoints/model_64_0.001_3_10_50_128epoch=18.ckpt,18,0.7274418604651163,27,128,45.5028,13.4158,0.0018,4.051,1.268,9.5994,0.6182,-5616.4444,0.0001,0.0005,0.0,0.0002,0.0004,0.0034,0.0605,9.3317
64,0.001,3,10,50,16,8,128,checkpoints/model_64_0.001_3_10_50_128epoch=19.ckpt,19,0.7190697674418605,27,128,44.7675,13.8402,0.0018,4.0397,1.2494,9.7002,0.6341,-5622.9043,0.0001,0.0005,0.0,0.0002,0.0003,0.003,0.0597,9.7632
64,0.001,3,10,50,16,8,128,checkpoints/model_64_0.001_3_10_50_128epoch=20.ckpt,20,0.7134883720930233,27,128,46.3218,13.918,0.0019,4.0087,1.2628,10.0324,0.6222,-5819.5953,0.0001,0.0004,0.0,0.0002,0.0004,0.0031,0.0589,11.9003
64,0.001,3,10,50,16,8,128,checkpoints/model_64_0.001_3_10_50_128epoch=21.ckpt,21,0.7209302325581395,27,128,45.6094,13.1574,0.0018,4.0416,1.2607,9.7218,0.6243,-5760.1497,0.0001,0.0005,0.0,0.0002,0.0004,0.0032,0.0617,11.28
64,0.001,3,10,50,16,8,128,checkpoints/model_64_0.001_3_10_50_128epoch=22.ckpt,22,0.7134883720930233,27,128,44.7394,12.9465,0.0017,4.0619,1.2463,9.4513,0.6384,-5682.4932,0.0001,0.0006,0.0,0.0002,0.0004,0.0031,0.0598,12.3906
