batch_size,learning_rate,split_count,cnt_min,cnt_max,checkpoint,epoch_num,accuracy,metric_rankme,metric_coherence,metric_pseudo_condition_number,metric_alpha_req,metric_stable_rank,metric_ne_sum,metric_self_clustering,metric_ripser,time_rankme,time_coherence,time_pseudo_condition_number,time_alpha_req,time_stable_rank,time_ne_sum,time_self_clustering,time_ripser
64,0.004,5,25,100,checkpoints/model_64_0.004_5_25_100epoch=03.ckpt,3,0.6403596403596403,76.2459,23.398,0.0,7.5085,1.1391,8.7149,0.7677,-16513.7307,0.0002,0.0028,0.0,0.0004,0.0019,0.0167,0.2253,20.6404
64,0.004,5,25,100,checkpoints/model_64_0.004_5_25_100epoch=04.ckpt,4,0.6473526473526473,73.8695,23.3977,0.0,7.809,1.1359,8.5714,0.7721,-16174.5481,0.0002,0.0027,0.0,0.0004,0.002,0.0164,0.2223,20.0229
128,0.001,3,10,50,checkpoints/model_128_0.001_3_10_50epoch=00.ckpt,0,0.6543456543456544,82.1361,23.3977,0.0,7.6073,1.1544,11.1025,0.7476,-18563.4019,0.0002,0.0027,0.0,0.0003,0.002,0.0172,0.2245,20.9888
128,0.001,3,10,50,checkpoints/model_128_0.001_3_10_50epoch=01.ckpt,1,0.6523476523476524,83.5803,23.3984,0.0,7.5413,1.1566,11.2692,0.7447,-18880.2143,0.0002,0.0027,0.0,0.0004,0.0019,0.0171,0.2266,24.6219
128,0.001,3,10,50,checkpoints/model_128_0.001_3_10_50epoch=02.ckpt,2,0.6573426573426573,83.2324,23.3984,0.0,7.4776,1.1529,11.2307,0.7497,-18833.4677,0.0002,0.0028,0.0,0.0015,0.002,0.0181,0.2283,24.9675
128,0.001,3,10,50,checkpoints/model_128_0.001_3_10_50epoch=03.ckpt,3,0.6423576423576424,83.9624,23.3984,0.0,7.357,1.1546,11.3663,0.7475,-18799.0058,0.0002,0.0029,0.0,0.0004,0.002,0.0173,0.2246,22.4344
128,0.001,3,10,50,checkpoints/model_128_0.001_3_10_50epoch=04.ckpt,4,0.6443556443556444,84.105,23.3984,0.0,7.3186,1.156,11.36,0.7453,-18882.4335,0.0002,0.0027,0.0,0.0004,0.002,0.0176,0.226,23.742
128,0.001,3,10,100,checkpoints/model_128_0.001_3_10_100epoch=00.ckpt,0,0.6463536463536463,83.1224,23.3984,0.0,7.2412,1.1586,10.4112,0.7421,-18165.2414,0.0002,0.0026,0.0,0.0004,0.0019,0.0164,0.2277,23.264
128,0.001,3,10,100,checkpoints/model_128_0.001_3_10_100epoch=01.ckpt,1,0.6383616383616384,82.2195,23.3982,0.0,7.2383,1.1564,10.3638,0.745,-17855.5385,0.0002,0.0026,0.0,0.0004,0.002,0.0166,0.2283,20.6519
128,0.001,3,10,100,checkpoints/model_128_0.001_3_10_100epoch=02.ckpt,2,0.6663336663336663,81.9877,23.3984,0.0,7.1912,1.1555,10.1679,0.7458,-17853.6871,0.0002,0.0027,0.0,0.0004,0.002,0.0167,0.2223,21.5331
128,0.001,3,10,100,checkpoints/model_128_0.001_3_10_100epoch=03.ckpt,3,0.6373626373626373,82.1052,23.3978,0.0,7.2551,1.1551,10.2008,0.7466,-17720.9023,0.0002,0.0025,0.0,0.0004,0.0019,0.0162,0.2241,20.4156
128,0.001,3,10,100,checkpoints/model_128_0.001_3_10_100epoch=04.ckpt,4,0.6453546453546454,82.1006,23.3984,0.0,7.1389,1.1567,10.3336,0.7443,-17759.8925,0.0002,0.0028,0.0,0.0004,0.0019,0.0168,0.2239,21.6212
128,0.001,3,25,50,checkpoints/model_128_0.001_3_25_50epoch=00.ckpt,0,0.6423576423576424,82.2807,23.3984,0.0,7.1807,1.155,9.75,0.7462,-17774.0949,0.0002,0.0031,0.0,0.0005,0.0021,0.0179,0.2254,22.2006
128,0.001,3,25,50,checkpoints/model_128_0.001_3_25_50epoch=01.ckpt,1,0.6663336663336663,82.7349,23.3984,0.0,7.1583,1.1554,9.805,0.7455,-17892.2278,0.0002,0.0026,0.0,0.0004,0.0019,0.0166,0.2231,21.2136
128,0.001,3,25,50,checkpoints/model_128_0.001_3_25_50epoch=02.ckpt,2,0.6473526473526473,82.9993,23.3984,0.0,7.0001,1.1553,10.0751,0.7456,-18003.7476,0.0002,0.0026,0.0,0.0004,0.0018,0.0167,0.2264,21.0897
128,0.001,3,25,50,checkpoints/model_128_0.001_3_25_50epoch=03.ckpt,3,0.6443556443556444,82.9856,23.3984,0.0,7.0783,1.1579,10.1341,0.7425,-18100.2418,0.0002,0.0026,0.0,0.0004,0.002,0.0181,0.2551,21.7478
128,0.001,3,25,50,checkpoints/model_128_0.001_3_25_50epoch=04.ckpt,4,0.6513486513486514,83.5274,23.3984,0.0,6.9499,1.1581,10.1631,0.7423,-18134.1363,0.0002,0.0026,0.0,0.0004,0.002,0.0161,0.2261,22.606
128,0.001,3,25,100,checkpoints/model_128_0.001_3_25_100epoch=00.ckpt,0,0.6653346653346653,82.2797,23.3984,0.0,6.7855,1.1608,9.1378,0.7382,-17509.4575,0.0001,0.0028,0.0,0.0004,0.0021,0.0161,0.2212,20.9791
128,0.001,3,25,100,checkpoints/model_128_0.001_3_25_100epoch=01.ckpt,1,0.6473526473526473,82.2323,23.3984,0.0,6.7532,1.1611,9.5165,0.7384,-17472.2917,0.0002,0.0026,0.0,0.0004,0.0019,0.0166,0.2212,20.4991
128,0.001,3,25,100,checkpoints/model_128_0.001_3_25_100epoch=02.ckpt,2,0.6363636363636364,82.2114,23.3984,0.0,6.6342,1.1621,9.1443,0.7364,-17389.9154,0.0002,0.0033,0.0,0.0003,0.002,0.0167,0.2256,20.9641
128,0.001,3,25,100,checkpoints/model_128_0.001_3_25_100epoch=03.ckpt,3,0.6453546453546454,80.8201,23.3984,0.0,6.8425,1.1578,9.2645,0.7426,-17231.302,0.0002,0.0028,0.0,0.0004,0.0019,0.0175,0.2242,20.5623
128,0.001,3,25,100,checkpoints/model_128_0.001_3_25_100epoch=04.ckpt,4,0.6503496503496503,81.5986,23.3976,0.0,6.7754,1.1599,9.1456,0.7392,-17215.4402,0.0001,0.0026,0.0,0.0004,0.0021,0.0158,0.2246,19.939
