metric,value,batch_size,learning_rate,split_count,cnt_min,cnt_max,embedding_dim,category_embedding_dim
rankme,61.00147247314453,32,0.0021656729923542387,128,8,16,2,20,80
coherence,34.28002412442774,32,0.002189683539888696,128,32,4,5,10,100
pseudo_condition_number,4.4339751346369343e-08,32,0.02148738399065693,128,16,4,5,5,50
alpha_req,23.881573090351413,32,0.01891084320642388,128,8,4,5,5,80
stable_rank,1.1636809493327698,32,0.0044308848466078805,128,32,4,5,5,100
ne_sum,10.68531592157704,64,0.0004505888640190947,64,16,16,3,20,50
self_clustering,0.7537177275385136,64,0.001906520853334246,64,16,4,5,10,100
ripser,-9585.876505762339,64,0.015303370703169969,64,16,8,3,10,50
