batch_size,learning_rate,split_count,cnt_min,cnt_max,embedding_dim,category_embedding_dim,hidden_size,checkpoint,epoch_num,accuracy,early_stop_epoch,hidden_size,metric_rankme,metric_coherence,metric_pseudo_condition_number,metric_alpha_req,metric_stable_rank,metric_ne_sum,metric_self_clustering,metric_ripser,time_rankme,time_coherence,time_pseudo_condition_number,time_alpha_req,time_stable_rank,time_ne_sum,time_self_clustering,time_ripser
32,0.001,3,10,50,16,8,128,checkpoints/model_32_0.001_3_10_50_128epoch=06.ckpt,6,0.53,7,128,45.4716,2.8972,0.0004,4.012,1.136,6.7297,0.7736,-1332.2481,0.0001,0.0001,0.0,0.0002,0.0001,0.0021,0.0015,0.2157
32,0.001,3,10,50,16,8,128,checkpoints/model_32_0.001_3_10_50_128epoch=07.ckpt,7,0.5341666666666667,7,128,44.8767,3.0089,0.0002,4.2336,1.1262,7.5379,0.7873,-1344.6975,0.0001,0.0001,0.0,0.0002,0.0001,0.002,0.0014,0.2158
32,0.001,3,10,50,16,8,128,checkpoints/model_32_0.001_3_10_50_128epoch=08.ckpt,8,0.5347222222222222,7,128,45.3188,2.6205,0.0001,4.2368,1.1329,7.5611,0.7782,-1365.4208,0.0001,0.0001,0.0,0.0002,0.0001,0.0019,0.0014,0.2114
32,0.001,3,10,50,16,8,128,checkpoints/model_32_0.001_3_10_50_128epoch=09.ckpt,9,0.5361111111111111,7,128,46.0495,2.5042,0.0002,4.1402,1.1353,7.6981,0.7747,-1382.7189,0.0001,0.0001,0.0,0.0002,0.0001,0.0019,0.0014,0.2062
32,0.001,3,10,50,16,8,128,checkpoints/model_32_0.001_3_10_50_128epoch=10.ckpt,10,0.5327777777777778,7,128,45.988,2.7615,0.0002,4.2213,1.1394,7.5872,0.7696,-1398.3955,0.0001,0.0001,0.0,0.0002,0.0001,0.002,0.0014,0.2122
32,0.001,3,10,50,16,8,128,checkpoints/model_32_0.001_3_10_50_128epoch=11.ckpt,11,0.5286111111111111,7,128,47.0422,2.8009,0.0002,4.0866,1.1418,7.6777,0.7662,-1423.3645,0.0001,0.0001,0.0,0.0002,0.0001,0.0019,0.0015,0.2188
64,0.001,3,10,50,16,8,128,checkpoints/model_64_0.001_3_10_50_128epoch=00.ckpt,0,0.4452777777777778,7,128,35.4218,3.6173,0.0014,4.2592,1.1437,7.0446,0.7626,-714.2974,0.0001,0.0001,0.0,0.0002,0.0001,0.002,0.0014,0.211
64,0.001,3,10,50,16,8,128,checkpoints/model_64_0.001_3_10_50_128epoch=01.ckpt,1,0.48333333333333334,7,128,35.9646,2.9969,0.0013,4.0236,1.108,6.6086,0.8126,-840.071,0.0001,0.0001,0.0,0.0002,0.0001,0.0019,0.0014,0.2219
64,0.001,3,10,50,16,8,128,checkpoints/model_64_0.001_3_10_50_128epoch=02.ckpt,2,0.5041666666666667,7,128,38.8962,3.0562,0.0014,3.8275,1.1135,5.5495,0.8047,-943.1917,0.0001,0.0001,0.0,0.0002,0.0001,0.0019,0.0015,0.2131
64,0.001,3,10,50,16,8,128,checkpoints/model_64_0.001_3_10_50_128epoch=03.ckpt,3,0.5027777777777778,7,128,40.6904,2.6818,0.0014,3.7581,1.1153,5.2962,0.8019,-1017.4201,0.0001,0.0001,0.0,0.0002,0.0001,0.002,0.0016,0.2245
64,0.001,3,10,50,16,8,128,checkpoints/model_64_0.001_3_10_50_128epoch=04.ckpt,4,0.5161111111111111,7,128,41.4802,2.5198,0.0013,3.6538,1.1123,5.4209,0.8062,-1052.3752,0.0001,0.0001,0.0,0.0002,0.0001,0.002,0.0015,0.2097
64,0.001,3,10,50,16,8,128,checkpoints/model_64_0.001_3_10_50_128epoch=05.ckpt,5,0.5094444444444445,7,128,42.4685,2.7914,0.0012,3.663,1.1117,5.9948,0.8074,-1094.1592,0.0001,0.0001,0.0,0.0002,0.0001,0.002,0.0015,0.2104
64,0.001,3,10,50,16,8,128,checkpoints/model_64_0.001_3_10_50_128epoch=06.ckpt,6,0.5111111111111111,7,128,44.6027,2.5101,0.0013,3.5618,1.1205,6.1368,0.7943,-1146.2349,0.0001,0.0001,0.0,0.0002,0.0001,0.0021,0.0016,0.2126
64,0.001,3,10,50,16,8,128,checkpoints/model_64_0.001_3_10_50_128epoch=07.ckpt,7,0.5211111111111111,7,128,45.0205,2.5503,0.0012,3.6043,1.1167,6.6551,0.7997,-1168.4363,0.0001,0.0001,0.0,0.0002,0.0001,0.0021,0.0016,0.2144
64,0.001,3,10,50,16,8,128,checkpoints/model_64_0.001_3_10_50_128epoch=08.ckpt,8,0.5161111111111111,7,128,45.0067,2.6364,0.0013,3.594,1.1198,6.5742,0.7954,-1177.0602,0.0001,0.0001,0.0,0.0002,0.0001,0.002,0.0015,0.2005
64,0.001,3,10,50,16,8,128,checkpoints/model_64_0.001_3_10_50_128epoch=09.ckpt,9,0.5169444444444444,7,128,45.7015,2.5358,0.001,3.5691,1.1185,6.9572,0.797,-1210.87,0.0001,0.0001,0.0,0.0002,0.0001,0.002,0.0015,0.2065
64,0.001,3,10,50,16,8,128,checkpoints/model_64_0.001_3_10_50_128epoch=10.ckpt,10,0.5275,7,128,46.8365,2.5304,0.0012,3.5394,1.1261,7.0383,0.7863,-1249.9444,0.0001,0.0001,0.0,0.0002,0.0001,0.002,0.0015,0.2191
64,0.001,3,10,50,16,8,128,checkpoints/model_64_0.001_3_10_50_128epoch=11.ckpt,11,0.5247222222222222,7,128,46.085,2.5938,0.0011,3.5906,1.1217,6.8988,0.7926,-1232.969,0.0001,0.0001,0.0,0.0002,0.0001,0.002,0.0014,0.2128
