batch_size,learning_rate,split_count,cnt_min,cnt_max,checkpoint,epoch_num,accuracy,metric_rankme,metric_coherence,metric_pseudo_condition_number,metric_alpha_req,metric_stable_rank,metric_ne_sum,metric_self_clustering,metric_ripser,time_rankme,time_coherence,time_pseudo_condition_number,time_alpha_req,time_stable_rank,time_ne_sum,time_self_clustering,time_ripser
64,0.004,5,10,100,checkpoints/model_64_0.004_5_10_100epoch=00.ckpt,0,0.6761421319796954,79.4028,23.3984,0.0,8.4973,1.1375,11.3854,0.7708,-18343.9691,0.0002,0.0029,0.0,0.0004,0.0021,0.0186,0.2341,21.9855
64,0.004,5,10,100,checkpoints/model_64_0.004_5_10_100epoch=01.ckpt,1,0.6934010152284263,77.657,23.398,0.0,8.6267,1.1372,11.0665,0.7708,-18201.1673,0.0002,0.0029,0.0,0.0004,0.0021,0.0186,0.2317,21.353
64,0.004,5,10,100,checkpoints/model_64_0.004_5_10_100epoch=02.ckpt,2,0.6903553299492385,74.8766,23.394,0.0,8.6556,1.1321,10.8814,0.7783,-17644.0245,0.0002,0.0028,0.0,0.0004,0.0022,0.0185,0.2336,21.3925
64,0.004,5,10,100,checkpoints/model_64_0.004_5_10_100epoch=03.ckpt,3,0.7106598984771574,72.6172,23.3983,0.0,8.8909,1.1252,10.6118,0.788,-17110.5854,0.0002,0.0049,0.0,0.0004,0.003,0.0189,0.2313,20.3773
64,0.004,5,10,100,checkpoints/model_64_0.004_5_10_100epoch=04.ckpt,4,0.6954314720812182,73.5933,23.3983,0.0,9.4183,1.1328,10.9747,0.7775,-17550.4143,0.0002,0.003,0.0,0.0005,0.0029,0.0183,0.2342,20.5857
64,0.004,5,25,50,checkpoints/model_64_0.004_5_25_50epoch=00.ckpt,0,0.6781725888324873,74.2599,23.3984,0.0,9.2237,1.1344,10.7485,0.7746,-17987.7911,0.0002,0.0029,0.0,0.0004,0.0022,0.0189,0.2365,20.3429
64,0.004,5,25,50,checkpoints/model_64_0.004_5_25_50epoch=01.ckpt,1,0.6700507614213198,73.988,23.3984,0.0,9.6814,1.1384,11.5467,0.7702,-18123.2047,0.0001,0.0032,0.0,0.0004,0.0021,0.0182,0.2337,20.9786
64,0.004,5,25,50,checkpoints/model_64_0.004_5_25_50epoch=02.ckpt,2,0.6548223350253807,73.5328,23.3982,0.0,9.7677,1.1427,10.9042,0.7632,-18447.8746,0.0002,0.0028,0.0,0.0004,0.0021,0.0196,0.2321,21.4632
64,0.004,5,25,50,checkpoints/model_64_0.004_5_25_50epoch=03.ckpt,3,0.6751269035532995,75.7644,23.3984,0.0,9.7415,1.1511,11.4551,0.7523,-18872.0852,0.0002,0.0027,0.0,0.0004,0.0025,0.0191,0.2347,21.7165
64,0.004,5,25,50,checkpoints/model_64_0.004_5_25_50epoch=04.ckpt,4,0.6649746192893401,75.1944,23.3984,0.0,9.8071,1.1529,10.7578,0.749,-18866.2516,0.0002,0.0048,0.0,0.0004,0.0023,0.019,0.2346,22.5962
